Customer,State,Customer Lifetime Value,Response,Coverage,Coverage Index,Education,Education Index,Effective To Date,Employment Status,Employment Status Index,Gender,Income,Location,Location Index,Marital Status,Marital Status Index,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy Type Index,Policy,Policy Index,Renew Offer Type,Sales Channel,Sales Channel Index,Total Claim Amount,Vehicle Class,Vehicle Class Index,Vehicle Size,Vehicle Size Index
AA10041,California,14827.62,No,Basic,0,High School or Below,0,02-02-2024,Unemployed,0,M,0,Suburban,1,Single,0,212.67,47,112,0,5,Personal Auto,0,Personal L3,2,1,Call Center,3,2361.25,SUV,4,Medsize,1
AA11235,Nevada,4820.44,No,Basic,0,Bachelor,2,28-01-2024,Medical Leave,2,F,20954.25,Suburban,1,Married,1,137.61,0,134,3,1,Personal Auto,0,Personal L3,2,2,Branch,1,657.53,Two-Door Car,0,Medsize,1
AA16582,Washington,45275.26,Yes,Basic,0,Bachelor,2,26-01-2024,Medical Leave,2,M,26405.83,Suburban,1,Divorced,2,133.44,18,4,0,2,Personal Auto,0,Personal L2,1,1,Agent,2,959.27,Four-Door Car,1,Medsize,1
AA30683,California,12375.71,No,Premium,2,Bachelor,2,15-01-2024,Unemployed,0,M,0,Suburban,1,Single,0,197.38,3,51,2,7,Personal Auto,0,Personal L3,2,1,Web,0,1590.74,Four-Door Car,1,Medsize,1
AA34092,California,54043.12,No,Extended,1,College,1,02-11-2024,Employed,1,M,63115.73,Suburban,1,Married,1,450.36,1,31,0,2,Personal Auto,0,Personal L3,2,1,Web,0,2161.73,Luxury SUV,5,Medsize,1
AA35519,Arizona,15016.34,Yes,Basic,0,College,1,01-11-2024,Unemployed,0,F,0,Suburban,1,Married,1,200.16,4,88,0,3,Personal Auto,0,Personal L2,1,1,Agent,2,963.77,SUV,4,Medsize,1
AA56476,Arizona,10499.75,Yes,Basic,0,High School or Below,0,02-05-2024,Employed,1,F,139713.07,Suburban,1,Single,0,133.44,34,39,0,3,Corporate Auto,1,Corporate L2,4,2,Call Center,3,639.51,Four-Door Car,1,Medsize,1
AA69265,Nevada,7439.82,No,Premium,2,Bachelor,2,17-01-2024,Employed,1,F,114123.17,Suburban,1,Single,0,193.21,4,107,1,1,Personal Auto,0,Personal L2,1,2,Web,0,927.74,Four-Door Car,1,Medsize,1
AA71604,Arizona,22492.84,No,Extended,1,Master,3,17-01-2024,Employed,1,F,164306.34,Suburban,1,Married,1,183.48,5,116,1,2,Personal Auto,0,Personal L2,1,1,Web,0,882.71,Two-Door Car,0,Medsize,1
AA93585,California,13292.46,No,Premium,2,College,1,30-01-2024,Employed,1,M,182064.98,Urban,2,Married,1,332.21,0,92,0,1,Personal Auto,0,Personal L2,1,2,Branch,1,1288.81,SUV,4,Medsize,1
AB13432,California,7010.30,No,Basic,0,Bachelor,2,01-04-2024,Unemployed,0,M,0,Suburban,1,Single,0,207.11,4,22,0,1,Personal Auto,0,Personal L3,2,1,Agent,2,1486.19,SUV,4,Medsize,1
AB21519,California,7246.08,Yes,Extended,1,College,1,01-06-2024,Employed,1,F,175024.63,Urban,2,Married,1,177.92,4,73,0,1,Personal Auto,0,Personal L3,2,2,Branch,1,527.51,Four-Door Car,1,Medsize,1
AB23825,California,16679.97,No,Extended,1,College,1,28-01-2024,Employed,1,M,40361.43,Suburban,1,Single,0,151.51,32,32,1,2,Personal Auto,0,Personal L1,0,4,Agent,2,775.93,Two-Door Car,0,Medsize,1
AB26022,Oregon,15008.90,No,Basic,0,High School or Below,0,01-10-2024,Retired,3,M,49702.23,Suburban,1,Single,0,209.89,0,111,0,3,Corporate Auto,1,Corporate L2,4,1,Call Center,3,1130.46,SUV,4,Medsize,1
AB31813,Washington,84013.34,No,Extended,1,High School or Below,0,02-12-2024,Unemployed,0,M,0,Suburban,1,Married,1,246.03,27,80,0,2,Personal Auto,0,Personal L3,2,3,Agent,2,1580.75,SUV,4,Medsize,1
AB45325,Arizona,4836.34,No,Basic,0,High School or Below,0,26-01-2024,Employed,1,M,139264.1,Suburban,1,Married,1,119.54,36,55,0,1,Personal Auto,0,Personal L3,2,4,Branch,1,647.73,Two-Door Car,0,Small,0
AB60627,California,29025.31,No,Extended,1,High School or Below,0,28-01-2024,Employed,1,M,145460.72,Rural,0,Married,1,241.86,26,27,0,2,Corporate Auto,1,Corporate L2,4,3,Branch,1,185.62,SUV,4,Medsize,1
AB62982,Oregon,11105.25,No,Basic,0,Doctor,4,02-04-2024,Employed,1,F,145467.67,Suburban,1,Married,1,137.61,8,89,0,3,Personal Auto,0,Personal L3,2,3,Call Center,3,657.53,Two-Door Car,0,Small,0
AB69140,California,47088.08,No,Basic,0,Master,3,18-02-2024,Employed,1,M,67566.51,Suburban,1,Married,1,132.05,19,115,0,2,Personal Auto,0,Personal L2,1,1,Branch,1,630.50,Four-Door Car,1,Small,0
AB72731,California,8706.93,No,Basic,0,Bachelor,2,01-04-2024,Employed,1,F,53213.37,Rural,0,Married,1,219.62,32,50,0,1,Personal Auto,0,Personal L2,1,2,Call Center,3,157.67,Sports Car,2,Medsize,1
AB73565,California,14496.96,No,Extended,1,Bachelor,2,02-07-2024,Employed,1,M,181547.9,Suburban,1,Married,1,180.7,18,92,0,9,Personal Auto,0,Personal L3,2,2,Branch,1,864.69,Two-Door Car,0,Medsize,1
AB78984,Oregon,20874.58,No,Extended,1,College,1,17-01-2024,Employed,1,M,79931.95,Rural,0,Single,0,180.7,11,111,0,2,Personal Auto,0,Personal L1,0,1,Web,0,79.37,Four-Door Car,1,Medsize,1
AB96670,California,4492.19,Yes,Basic,0,College,1,31-01-2024,Unemployed,0,M,0,Suburban,1,Single,0,132.05,32,14,0,1,Personal Auto,0,Personal L1,0,1,Branch,1,798.01,Four-Door Car,1,Medsize,1
AB98823,Arizona,11320.44,No,Extended,1,College,1,02-04-2024,Unemployed,0,M,0,Suburban,1,Married,1,161.24,5,76,0,8,Personal Auto,0,Personal L3,2,2,Web,0,774.62,Two-Door Car,0,Medsize,1
AC13887,California,8686.30,No,Basic,0,Bachelor,2,01-09-2024,Unemployed,0,M,0,Suburban,1,Single,0,125.1,34,28,0,4,Corporate Auto,1,Corporate L1,3,1,Branch,1,905.22,Two-Door Car,0,Medsize,1
AC22873,Arizona,9106.85,No,Extended,1,High School or Below,0,02-03-2024,Medical Leave,2,F,32125.68,Suburban,1,Married,1,234.91,19,128,0,1,Special Auto,2,Special L3,8,1,Agent,2,1345.99,SUV,4,Medsize,1
AC24378,Arizona,14030.92,No,Extended,1,High School or Below,0,19-01-2024,Employed,1,F,91107.55,Urban,2,Married,1,176.53,7,73,0,9,Corporate Auto,1,Corporate L3,5,4,Call Center,3,493.05,Four-Door Car,1,Medsize,1
AC40767,Washington,4687.14,No,Basic,0,Bachelor,2,02-01-2024,Employed,1,M,127678.45,Urban,2,Single,0,119.54,14,63,0,1,Personal Auto,0,Personal L2,1,4,Branch,1,310.69,Two-Door Car,0,Medsize,1
AC42963,California,40201.45,Yes,Basic,0,Bachelor,2,01-03-2024,Unemployed,0,M,0,Suburban,1,Married,1,122.32,12,42,0,2,Special Auto,2,Special L3,8,2,Agent,2,585.47,Two-Door Car,0,Medsize,1
AC58002,California,10633.88,No,Basic,0,Bachelor,2,19-01-2024,Employed,1,F,101155.86,Urban,2,Married,1,133.44,1,70,0,9,Corporate Auto,1,Corporate L2,4,1,Branch,1,356.37,Four-Door Car,1,Medsize,1
AC67315,Nevada,26012.24,No,Basic,0,Bachelor,2,21-02-2024,Employed,1,F,181927.37,Suburban,1,Married,1,215.45,27,100,0,2,Personal Auto,0,Personal L2,1,4,Agent,2,1188.07,Sports Car,2,Large,2
AC73173,California,6933.00,No,Basic,0,Bachelor,2,20-02-2024,Unemployed,0,M,0,Suburban,1,Married,1,191.82,18,113,0,1,Personal Auto,0,Personal L2,1,3,Call Center,3,1145.82,SUV,4,Large,2
AC75391,Arizona,10823.82,No,Basic,0,College,1,01-01-2024,Employed,1,F,65848.47,Suburban,1,Divorced,2,139,36,26,0,9,Corporate Auto,1,Corporate L1,3,1,Branch,1,786.11,Two-Door Car,0,Medsize,1
AC79024,Nevada,10383.11,No,Basic,0,Bachelor,2,02-07-2024,Employed,1,M,43611.25,Suburban,1,Married,1,132.05,15,19,0,9,Personal Auto,0,Personal L1,0,2,Agent,2,945.76,Two-Door Car,0,Small,0
AD12500,California,33444.04,No,Extended,1,High School or Below,0,23-02-2024,Employed,1,F,80119.6,Suburban,1,Single,0,428.12,23,68,0,9,Personal Auto,0,Personal L2,1,3,Call Center,3,2390.17,Luxury Car,3,Small,0
AD18174,California,9078.37,No,Basic,0,High School or Below,0,22-02-2024,Unemployed,0,F,0,Suburban,1,Single,0,122.32,8,120,0,3,Personal Auto,0,Personal L3,2,1,Web,0,878.20,Four-Door Car,1,Medsize,1
